Event ID,Date,City,ZIP,Latitude,Longitude,Hazard Type,Time,Policyholders,Claim References,Building Loss,Contents Loss,Basement/Foundation Loss,Elevator/Utility Loss,Total Loss
EVT4000,2023-09-10,New York,11519,40.7178,-74.0074,FLD,08:15,"Scott Cline, Carlos Wyatt, Jacob James",CLM20000,371357.09,121738.4,17289.83,8643.73,519029.05
EVT4000,2023-09-10,New York,11509,40.7286,-73.9983,FLD,03:43,"Russell Miller, Thomas Padilla, Kathy Spears, David Kelly",CLM20003,29880.56,194132.42,83579.38,11404.62,318996.98
EVT4000,2023-09-10,New York,11210,40.7082,-74.0107,FLD,13:02,"Terry Perez, Andrew Russo, Anne Baker, Jodi Baker, Joseph Manning, Diane Ramsey, Mckenzie Crawford",CLM20006,166036.28,107327.5,44330.61,15270.23,332964.62
EVT4000,2023-09-10,New York,10448,40.7027,-74.0029,FLD,07:32,"Emma King, Manuel Price, James Potts",CLM20009,160229.43,76440.56,46694.86,39473.62,322838.47
EVT4000,2023-09-10,New York,11150,40.7135,-74.0202,FLD,06:45,"Charles Kirby, Kelly Hill, Kara Reynolds, Kimberly White, Jaime Peterson, Michael Williams, Mason Steele",CLM20012,304358.99,14057.83,61539.4,9355.68,389311.9
EVT4000,2023-09-10,New York,10452,40.7068,-74.0089,FLD,14:37,"Dylan Bailey, Kerri Lopez, Jennifer Schultz, Michael Carroll, Joshua Patterson, Crystal Smith, Elizabeth Moore DDS","CLM20015, CLM20016",348431.85,90829.74,13959.75,25263.67,478485.00999999995
EVT4000,2023-09-10,New York,11555,40.721,-74.0182,FLD,05:44,"Gregory Martinez, Jessica Romero, Michael Mitchell, David Garcia, Jacqueline Zimmerman",CLM20018,169621.32,106413.26,55577.61,10057.87,341670.06
EVT4000,2023-09-10,New York,10570,40.7202,-74.0043,FLD,04:13,"Courtney Riley, Nathan Carroll MD, Alyssa Shields, Kimberly Gray, Megan Hutchinson, Michael Henson","CLM20021, CLM20022",62476.4,43216.66,6432.27,16941.19,129066.52
EVT4000,2023-09-10,New York,10190,40.698,-74.0132,FLD,12:06,"Charles Mosley, Breanna Mccarthy, Michael Mitchell, Joshua Keller, Elizabeth White",CLM20024,417794.0,74566.9,29531.58,27592.11,549484.5900000001
EVT4000,2023-09-10,New York,11237,40.716,-74.0099,FLD,08:51,"Michael Brady, David Williams, Jennifer Irwin, Nicholas Miranda, Mark Baker","CLM20027, CLM20028",55784.31,197442.95,77679.99,10737.07,341644.32
EVT4000,2023-09-10,New York,10941,40.7231,-73.9967,FLD,17:07,"Megan Jackson, Thomas Howe, William Lamb","CLM20030, CLM20031, CLM20032",390209.77,19438.71,37129.64,6677.58,453455.70000000007
EVT4000,2023-09-10,New York,11131,40.7161,-73.9962,FLD,09:53,"Brittany Orozco, Zachary Hodges, Kelsey Ramirez, Jerome Campbell, Alexander Sullivan, Melissa Valdez",CLM20033,178831.05,17393.88,32476.27,16933.98,245635.18
EVT4000,2023-09-10,New York,11183,40.7209,-73.9924,FLD,06:45,"Roger Burns, Ashley Garcia, Joel Weeks, Sarah Leonard, Stephen Miller, Amanda Jordan, Alison Harper","CLM20036, CLM20037",445862.12,97081.91,13720.24,35948.99,592613.26
EVT4000,2023-09-10,New York,11355,40.7164,-73.9906,FLD,07:49,"Cynthia Fernandez, Angela Cooper, Alisha Palmer",CLM20039,390064.25,101290.14,53227.82,21949.51,566531.72
EVT4000,2023-09-10,New York,10477,40.7137,-74.009,FLD,03:24,"Kenneth Castillo, Jo Nelson, Sheryl Bryant, Kathryn Gutierrez, Kathleen Watson",CLM20042,170890.87,104171.28,90941.51,13215.32,379218.98000000004
EVT4000,2023-09-10,New York,11302,40.7276,-74.0112,FLD,11:10,"Brianna Soto, Brandon Porter, John Alexander, Molly Armstrong, Douglas Nelson","CLM20045, CLM20046",129823.12,20011.08,30395.64,8899.84,189129.68000000002
EVT4000,2023-09-10,New York,10430,40.722,-74.0027,FLD,21:17,"Devin Sweeney, Justin Bradford, Sharon Fitzgerald, Kyle Morales, Wendy Cannon","CLM20048, CLM20049",405762.6,41381.16,89470.78,27427.77,564042.31
